author	time	parents	message	sha	changes	additions	deletions	files
SiyavashGh	2020-02-29 00:25:45	['b73ecfc5bf5326865a3908faf5da267ae4d6ccdc']	Run#8 bid5 fix	49baf302d67a4fd2c4d6b38d9f9a5462c71d70c7	[6]	[3]	[3]	['Tests/Bid/bid5/output.txt']	
SiyavashGh	2020-02-29 00:23:00	['f75252e23d5f433b12b5f968ecbc311dbc72592c']	Run#8 bid4 fix	b73ecfc5bf5326865a3908faf5da267ae4d6ccdc	[14, 5]	[4, 5]	[10, 0]	['Tests/Bid/bid4/testOutput.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-29 00:20:29	['6720c9441e20cbbadb1a7dbb2fbe673f12d4a988']	Run#8 bid3 fix	f75252e23d5f433b12b5f968ecbc311dbc72592c	[3, 12, 41, 12, 14, 12, 2]	[2, 4, 41, 8, 9, 8, 0]	[1, 8, 0, 4, 5, 4, 2]	['.vscode/settings.json', 'Tests/Bid/bid3/output.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 23:59:14	['4f3c97c1b426a387ff5da9fa2705e618c3c42cef']	bid1 fixes	6720c9441e20cbbadb1a7dbb2fbe673f12d4a988	[2, 2]	[1, 1]	[1, 1]	['TestDefaults/items.txt', 'Tests/Bid/bid1/output.txt']	
SiyavashGh	2020-02-28 23:57:28	['9810a80b9e70ca1f712bc7e51581d0029eec00d2']	Bid fixes	4f3c97c1b426a387ff5da9fa2705e618c3c42cef	[4, 6, 20, 2, 2, 2]	[2, 4, 10, 1, 1, 1]	[2, 2, 10, 1, 1, 1]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 23:52:41	['da4fa5ca330561562c32e03cce7767db2c18c5ea']	Run#8 bid3 minor fixes	9810a80b9e70ca1f712bc7e51581d0029eec00d2	[4, 3, 3, 4, 6, 2]	[0, 3, 3, 3, 5, 1]	[4, 0, 0, 1, 1, 1]	['Tests/Bid/bid3/input.txt', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/main.cpp', 'src/storage/items.txt']	
Colin-Shaw2	2020-02-28 23:41:36	['da4fa5ca330561562c32e03cce7767db2c18c5ea']	added script back	ebfcd244e4f9ff3e19d17ddc1add7691baf9d1dc	[39]	[39]	[0]	['specificTest.sh']	
Colin-Shaw2	2020-02-28 23:30:46	['2aa1865ebd17de0a03284450d989323a6e34fefa', '914afb74211f1cb2fdc023e789f31a6a0ae071c1']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	da4fa5ca330561562c32e03cce7767db2c18c5ea	[2, 4, 6, 41, 13, 33, 14, 2, 6, 15, 7]	[1, 2, 3, 0, 2, 12, 3, 1, 3, 6, 4]	[1, 2, 3, 41, 11, 21, 11, 1, 3, 9, 3]	['Tests/Bid/bid1/output.txt', 'Tests/Bid/bid1/transactionoutputs.txt', 'Tests/Bid/bid2/output.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-28 23:30:28	['a1c468823a5bc504918fa194bca0ebdb00f102cf']	run 8 ref 5	2aa1865ebd17de0a03284450d989323a6e34fefa	[6, 10]	[3, 9]	[3, 1]	['Tests/Refund/refund5/output.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 23:24:53	['2405b374f62c6ebfaeae31fc88b4376ae7b54b58']	Run#8 bid2 fix	914afb74211f1cb2fdc023e789f31a6a0ae071c1	[6]	[3]	[3]	['Tests/Bid/bid2/output.txt']	
